Type,Trans Date,Post Date,Description,Amount
Sale,03/13/2018,03/13/2018,TACO STAND- MILL,-9.82
Sale,03/12/2018,03/13/2018,LOWES #02204*,-17.09
Sale,03/10/2018,03/11/2018,SQ *INDEPENDENT BAKING CO,-12.02
Sale,03/10/2018,03/11/2018,AGUA LINDA,-8.98
Sale,03/10/2018,03/11/2018,SQ *THE ROOK &amp; PAWN,-22.57
Sale,03/09/2018,03/11/2018,THE HOME DEPOT 1777,-24.22
Sale,03/09/2018,03/11/2018,HIGHLAND WOODWORKING,-186.12
Sale,03/09/2018,03/11/2018,KROGER #446,-25.96
Sale,03/09/2018,03/11/2018,TARGET        00014530,-34.90
Return,03/09/2018,03/11/2018,PAYPAL *WEBUYMOBILE,330.00
Sale,03/07/2018,03/08/2018,SQ *SUSHI BURRI,-12.54
Sale,03/05/2018,03/06/2018,AMAZON MKTPLACE PMTS,-25.95
Sale,03/04/2018,03/06/2018,THE HOME DEPOT 129,-28.38
Sale,03/04/2018,03/06/2018,THE HOME DEPOT 129,-63.42
Sale,03/04/2018,03/06/2018,THE HOME DEPOT 129,-20.95
Sale,03/03/2018,03/05/2018,THE HOME DEPOT 129,-591.40
Sale,03/03/2018,03/05/2018,THE HOME DEPOT 129,-505.93
Sale,03/02/2018,03/04/2018,SQ *45 SOUTH, A COFFEE KI,-16.40
Sale,03/01/2018,03/02/2018,VESTA  *AT&amp;T,-55.75
Fee,03/01/2018,03/01/2018,ANNUAL MEMBERSHIP FEE,-95.00
Sale,02/27/2018,02/28/2018,CUROLOGY,-39.90
Sale,02/25/2018,02/26/2018,EQT*Ambetter,-29.78
Sale,02/24/2018,02/25/2018,CURRY VILLAGE INDIAN RES,-15.67
Sale,02/24/2018,02/26/2018,MEDITERRANEAN BISTRO,-40.69
Sale,02/24/2018,02/26/2018,ESCALADE ROCK CLIMBING GY,-38.16
Sale,02/23/2018,02/25/2018,KATE SPADE OUTLET 1845,-27.14
Sale,02/23/2018,02/25/2018,SQ *SUSHI BURRI,-12.54
Payment,02/23/2018,02/23/2018,Payment Thank You - Web,2054.73
Sale,02/22/2018,02/25/2018,Whitehall Tavern,-14.91
Sale,02/19/2018,02/21/2018,LA BAMBA MEXICAN BAR &amp; GR,-14.25
Sale,02/18/2018,02/18/2018,HONEST,-31.53
Sale,02/17/2018,02/19/2018,STONE SUMMIT CLIMBING &amp; F,-40.00
Sale,02/15/2018,02/18/2018,THE HOME DEPOT 1777,-7.40
Sale,02/15/2018,02/16/2018,The National,-6.00
Sale,02/13/2018,02/15/2018,STARBUCKS STORE 08309,-6.38
Return,02/13/2018,02/15/2018,A EAGLE OUTFTR00028654,53.01
Sale,02/11/2018,02/12/2018,PAYPAL *WEBUYMOBILE,-330.00
Payment,02/11/2018,02/11/2018,Payment Thank You - Web,1000.00
Sale,02/10/2018,02/12/2018,JCT KITCHEN,-45.21
Sale,02/10/2018,02/11/2018,CVS/PHARMACY #02084,-47.97
Sale,02/07/2018,02/08/2018,LOWES #01507*,-59.64
Sale,02/07/2018,02/09/2018,STARBUCKS STORE 08498,-4.93
Sale,02/06/2018,02/07/2018,LOWES #00640*,-21.13
Sale,02/06/2018,02/07/2018,KROGER #449,-22.47
Sale,02/06/2018,02/07/2018,PTIDUNK TRUCK LLC,-40.28
Sale,02/05/2018,02/07/2018,THE HOME DEPOT 1775,-21.17
Sale,02/05/2018,02/07/2018,THE HOME DEPOT 1775,-85.82
Sale,02/04/2018,02/05/2018,FIRST WATCH 143,-34.43
Sale,02/04/2018,02/05/2018,MACYS   .COM,-111.27
Sale,02/03/2018,02/04/2018,MACYS  LENOX SQUARE,-65.32
Sale,02/03/2018,02/04/2018,Amazon.com,-55.63
Sale,02/03/2018,02/05/2018,PARKSIMPLE LLC - AZURE,-6.00
Sale,02/03/2018,02/04/2018,C&amp;J CLARK 775,-65.33
Sale,02/02/2018,02/04/2018,A EAGLE OUTFTR00006593,-96.95
Sale,02/02/2018,02/05/2018,THAI RESTAURANT OF NORCRO,-9.55
Sale,02/02/2018,02/04/2018,AMAZON MKTPLACE PMTS,-8.71
Sale,02/02/2018,02/04/2018,TARGET        00009829,-38.99
Sale,02/01/2018,02/02/2018,AMAZON MKTPLACE PMTS,-5.83
Sale,01/31/2018,02/02/2018,HOMEDEPOT.COM,-528.94
Sale,01/31/2018,02/02/2018,Whitehall Tavern,-47.12
Sale,01/30/2018,01/31/2018,VESTA  *AT&amp;T,-55.75
Sale,01/27/2018,01/28/2018,LOWES #00640*,-10.58
Sale,01/27/2018,01/28/2018,SQ *JOE'S EAST ATLANTA CO,-5.08
Sale,01/26/2018,01/28/2018,SQ *SUSHI BURRI,-12.96
Sale,01/25/2018,01/26/2018,EQT*Ambetter,-29.78
Sale,01/25/2018,01/28/2018,Whitehall Tavern,-16.83
Sale,01/25/2018,01/26/2018,HENDERSHOTS,-5.50
Sale,01/25/2018,01/28/2018,STARBUCKS STORE 00982,-3.87
Sale,01/25/2018,01/28/2018,STARBUCKS STORE 00982,-3.21
Sale,01/24/2018,01/25/2018,HENDERSHOTS,-4.00
Sale,01/24/2018,01/25/2018,HENDERSHOTS,-5.75
Sale,01/24/2018,01/25/2018,BRADSHAW INTERNATIONAL,-47.98
Sale,01/24/2018,01/25/2018,MODEL CITIZEN SALON,-52.00
Sale,01/24/2018,01/26/2018,THE HOME DEPOT 1777,-63.50
Sale,01/23/2018,01/24/2018,SQ *JITTERY JOE'S COFFEE,-3.50
Sale,01/23/2018,01/24/2018,CVS/PHARMACY #10865,-3.81
Sale,01/23/2018,01/24/2018,J CREW FACTORY #188,-13.60
Sale,01/22/2018,01/22/2018,HONEST,-12.29
Sale,01/21/2018,01/23/2018,BATDORF  BRONSON DANCING,-4.32
Sale,01/20/2018,01/21/2018,BROWN DOG DELI,-23.26
Sale,01/19/2018,01/21/2018,FEDEXOFFICE   00017194,-4.07
Sale,01/18/2018,01/19/2018,AMAZON MKTPLACE PMTS,-42.07
Sale,01/18/2018,01/21/2018,THE IMPERIAL,-6.21
Sale,01/18/2018,01/21/2018,THE HOME DEPOT 1777,-57.01
Sale,01/18/2018,01/19/2018,PUBLIX #1077,-21.54
Return,01/14/2018,01/15/2018,THE HOME DEPOT 106,50.00
Sale,01/13/2018,01/15/2018,THE HOME DEPOT 106,-50.00
Sale,01/13/2018,01/14/2018,JINYA RAMEN BAR BU,-12.43
Sale,01/13/2018,01/15/2018,TARGET        00021717,-54.06
Sale,01/12/2018,01/12/2018,CURRY VILLAGE INDIAN RES,-10.27
Sale,01/11/2018,01/12/2018,JOHNNYS NEW YORK STYLE PI,-18.50
Sale,01/11/2018,01/12/2018,DUNKIN #349401 Q35,-3.16
Sale,01/10/2018,01/12/2018,THE HOME DEPOT 1777,-30.68
Sale,01/10/2018,01/12/2018,LA BAMBA MEXICAN BAR &amp; GR,-12.01
