acct,date,source,amt,memo,Class,Subclass,Category,Subcat
Freedom,1/5/2018,KROGER FUEL #1449,-35.07,,Expense,Essential,Transport,Petrol
Freedom,1/5/2018,SHELL OIL 57542375506,-10.13,,Expense,Essential,Transport,Petrol
BoA,1/2/2018,AKSHAR GROCERY LILBURN GA,-11.7,,Expense,Essential,Groceries,Groceries
Sapphire,1/18/2018,AMAZON MKTPLACE PMTS,-42.07,,Expense,Essential,Work,John
Sapphire,2/1/2018,AMAZON MKTPLACE PMTS,-5.83,,Expense,Essential,Work,Reva
Sapphire,3/1/2018,ANNUAL MEMBERSHIP FEE,-95,,Expense,Lifestyle,Fee,Credit Card
Barclay,2/5/2018,BEEMINDER,-5,,Expense,Essential,Work,Reva
Freedom,1/7/2018,Spotify USA,-9.99,,Expense,Lifestyle,Entertainment,Reva
Freedom,1/10/2018,NAME-CHEAP.COM,-9.02,,Expense,Essential,Work,Reva
Sapphire,1/23/2018,CVS/PHARMACY #10865,-3.81,,Expense,Essential,Medical,Pharmacy
BoA,1/12/2018,DAILY GROCERIES CO-OP ATHENS GA,-5.14,,Expense,Essential,Groceries,Groceries
BoA,3/1/2018,KROGER #449 STONE MOUNTAIGA,-26.97,,Expense,Essential,Groceries,Groceries
Freedom,1/10/2018,NAME-CHEAP.COM,-9.88,,Expense,Essential,Work,Reva
Sapphire,1/25/2018,EQT*Ambetter,-29.78,,Expense,Essential,Medical,Insurance
Sapphire,2/25/2018,EQT*Ambetter,-29.78,,Expense,Essential,Medical,Insurance
Freedom,1/11/2018,QT 804        07008048,-25.8,,Expense,Essential,Transport,Petrol
Freedom,1/14/2018,TEXACO 0358520,-7.48,,Expense,Essential,Transport,Petrol
Sapphire,1/19/2018,FEDEXOFFICE   00017194,-4.07,,Expense,Essential,Work,John
Barclay,2/11/2018,GA SECRETARY OF STATE,-100,,Expense,Essential,Work,John
Sapphire,3/1/2018,VESTA  *AT&amp;T,-55.75,,Expense,Essential,Utilities,Mobile
Sapphire,1/31/2018,HOMEDEPOT.COM,-528.94,,Expense,Essential,Work,John
BoA,2/20/2018,KROGER #428 ATHENS GA,-40.12,,Expense,Essential,Groceries,Groceries
BoA,3/8/2018,KROGER #428 ATHENS GA,-99.53,,Expense,Essential,Groceries,Groceries
BoA,3/9/2018,DAILY GROCERIES CO-OP ATHENS GA,-5.65,,Expense,Essential,Groceries,Groceries
Sapphire,3/2/2018,SQ *45 SOUTH,-16.4,,Expense,Lifestyle,Dining,Reva
BoA,1/30/2018,KROGER #446 KENNESAW GA,-14.83,,Expense,Essential,Groceries,Groceries
BoA,2/14/2018,KROGER #446 KENNESAW GA,-41.39,,Expense,Essential,Groceries,Groceries
Sapphire,2/6/2018,KROGER #449,-22.47,,Expense,Essential,Groceries,Groceries
BoA,1/22/2018,KROGER #449 STONE MOUNTAIGA,-19.8,,Expense,Essential,Groceries,Groceries
BoA,1/31/2018,KROGER #449 STONE MOUNTAIGA,-42.49,,Expense,Essential,Groceries,Groceries
