Type,Trans Date,Post Date,Description,Amount
Sale,03/09/2018,03/11/2018,KROGER FUEL #1446,-39.79
Sale,03/09/2018,03/11/2018,EARTH FARE #300,-51.84
Sale,03/07/2018,03/08/2018,RACETRAC 234  00002345,-21.69
Sale,03/06/2018,03/07/2018,Spotify USA,-9.99
Sale,03/05/2018,03/06/2018,GOOGLE *Martin Stava,-1.99
Sale,03/04/2018,03/06/2018,RACETRAC 643  00006437,-38.96
Sale,02/26/2018,02/28/2018,EXXONMOBIL    47685037,-43.51
Sale,02/25/2018,02/26/2018,KROGER FUEL #1446,-27.48
Sale,02/23/2018,02/25/2018,PRIVATEINTERNETACCESS,-39.95
Sale,02/23/2018,02/25/2018,FOSSIL #7485,-58.51
Sale,02/23/2018,02/25/2018,COLE HAAN-WOODSTOCK, GA,-106.00
Sale,02/22/2018,02/23/2018,BEST BUY      00005017,-100.69
Sale,02/19/2018,02/20/2018,KROGER FUEL #1449,-39.72
Sale,02/16/2018,02/18/2018,BEST BUY MHT  00005041,-243.79
Payment,02/16/2018,02/16/2018,Payment Thank You - Web,305.70
Sale,02/16/2018,02/18/2018,RACETRAC2329  00023291,-26.72
Sale,02/15/2018,02/16/2018,ADOBE SYSTEMS, INC.,-49.99
Sale,02/13/2018,02/14/2018,TEXACO 0358520,-41.23
Sale,02/12/2018,02/14/2018,RACETRAC 588  00005884,-25.94
Sale,02/06/2018,02/07/2018,Spotify USA,-9.99
Sale,02/05/2018,02/06/2018,RACETRAC2329  00023291,-28.16
Sale,02/05/2018,02/06/2018,QT 748        07007487,-39.19
Sale,01/27/2018,01/28/2018,KROGER FUEL #1449,-41.92
Sale,01/25/2018,01/26/2018,KROGER FUEL #1438,-28.49
Sale,01/22/2018,01/23/2018,QT 748        07007487,-34.03
Sale,01/20/2018,01/21/2018,KROGER FUEL #1449,-24.60
Sale,01/19/2018,01/21/2018,EXXONMOBIL    47531587,-20.00
Sale,01/15/2018,01/16/2018,ADOBE SYSTEMS, INC.,-49.99
Sale,01/14/2018,01/15/2018,KROGER FUEL #1449,-41.22
Sale,01/13/2018,01/14/2018,TEXACO 0358520,-7.48
Sale,01/10/2018,01/11/2018,QT 804        07008048,-25.80
Sale,01/09/2018,01/10/2018,NAME-CHEAP.COM,-9.02
Sale,01/08/2018,01/10/2018,NAME-CHEAP.COM,-9.88
Sale,01/06/2018,01/07/2018,Spotify USA,-9.99
Sale,01/04/2018,01/05/2018,KROGER FUEL #1449,-35.07
Sale,01/03/2018,01/05/2018,SHELL OIL 57542375506,-10.13
