Posted Date,Reference Number,Payee,Address,Amount
02/14/2018,24445718044300329917514,"KROGER #446 KENNESAW GA","KENNESAW      GA ",-41.39
02/07/2018,24445718037300298019895,"KROGER #449 STONE MOUNTAIGA","STONE MOUNTAI GA ",-4.56
02/07/2018,24445718037300298019713,"KROGER #449 STONE MOUNTAIGA","STONE MOUNTAI GA ",-15.89
02/07/2018,24445718037300298019630,"KROGER #449 STONE MOUNTAIGA","STONE MOUNTAI GA ",-6.10
02/02/2018,24445008033000670096624,"PUBLIX #1077 KENNESAW GA","KENNESAW      GA ",-18.77
01/31/2018,24445718030300297177485,"KROGER #449 STONE MOUNTAIGA","STONE MOUNTAI GA ",-42.49
01/30/2018,24445718029300285950128,"KROGER #446 KENNESAW GA","KENNESAW      GA ",-14.83
01/29/2018,02973400000847000081336,"BA ELECTRONIC PAYMENT","",252.10
01/25/2018,24445008025000636671825,"PUBLIX #1077 KENNESAW GA","KENNESAW      GA ",-30.35
01/22/2018,24445718021300307524297,"KROGER #449 STONE MOUNTAIGA","STONE MOUNTAI GA ",-19.80
01/22/2018,24224438022101059251662,"PATEL BROTHERS DECATUR GA","DECATUR       GA ",-28.43
01/16/2018,24445008016000619079294,"PUBLIX #1077 KENNESAW GA","KENNESAW      GA ",-17.55
